#TAG,NAME IN REPO (or git url),DESCRIPTION (a short description about the program)
,nsxiv,The simple X image viewer
,zathura,A document viewer
,zathura-pdf-mupdf,Support for PDF and similar documents
,mpv,A terminal media player
,ffmpeg,A video converter
,picom,Compositor for X11
,xwallpaper,A wallpaper setting utility for X
,dunst,A lightweight notification-daemon
A,librewolf-bin,A privacy oriented fork of Firefox
A,gtk-theme-arc-gruvbox-git,A dark Gruvbox gtk theme for Artos
,libnotify,Library for sending desktop notifications
,transmission-cli,A torrent client for the terminal
,pipewire,A program to enable audio
,wireplumber,Session manager implementation for pipewire
,sof-firmware,Sound open firmware for audio
,pulsemixer,CLI and curses mixer for pulseaudio/pipewire
,bluez,Daemon for bluetooth
,bluez-utils,Development and debugging utilities for bluetooth
,libspa-bluetooth,To enable bluetooth compatibility with pipewire
,yt-dlp,Allows you to download media from YouTube
,xorg,You need this for the X server graphical interface
,xorg-xinit,X init program (so you can start your X session)
,acpilight,A backward-compatible xbacklight replacement based on ACPI
,xdg-utils,Tools to assist applications with various desktop integration tasks
,ttf-dejavu,Displays emojis properly
,noto-fonts,Google Noto TTF Fonts
,noto-fonts-emoji,Google Noto Emoji Fonts
,maim,Utility that takes a screenshot of your desktop
,xcape,Modifies keys to act as other keys when pressed/released
,unzip,Unzip zipped files
,xclip,Basically the clipboard
,xdotool,Command-line X11 automation tool
,polkit,An authorization manager/toolkit
A,simple-mtpfs,To mount Android devices
,slock,The simple X screen locker
,fzf,A command-line fuzzy finder
,bc,A terminal calculator
,ntp,A network protocol reference implementation
,xz,XZ compression utilities
,7zip,File archiver with a high compression ratio
,pkg-config,System for managing library compile/link flags
G,https://github.com/x1nigo/dwm.git,The suckless dynamic window manager
G,https://github.com/x1nigo/st.git,The simple terminal
G,https://github.com/x1nigo/dmenu.git,The dynamic menu
